address,lat,lng,Walk Score,Bike Score,Transit Score
"kelowna, bc, v1v 3b1",49.92293,-119.39959,34,28,38
"kelowna, bc, v1y 5m5",49.87549,-119.48517,50,94,55
"lake country, bc, v4v 2c4",50.10012,-119.3624,0,3,-1
"kelowna, bc, v1w 3y5",49.85413,-119.47736,26,84,46
"west kelowna, bc, v4t 1y6",49.83881,-119.57765,0,18,-1
"kelowna, bc, v1x 2p5",49.90123,-119.39525,64,68,51
"kelowna, bc, v1p 1g4",49.86026,-119.34941,20,13,24
"lake country, bc, v4v 1m2",50.02473,-119.41091,30,35,-1
"west kelowna, bc, v4t 3c5",49.84055,-119.59922,15,31,-1
"west kelowna, bc, v1z 1m9",49.85989,-119.57693,4,22,-1
"kelowna, bc, v1p 1k5",49.86626,-119.33268,8,15,19
"kelowna, bc, v1w 1g7",49.82107,-119.49447,35,74,29
"peachland, bc, v0h 1x6",49.77535,-119.73626,42,55,-1
"kelowna, bc, v1y 0j4",49.89395,-119.49486,49,98,40
"west kelowna, bc, v1z 3z6",49.87746,-119.57197,4,22,-1
"vernon, bc, v1h",50.20021,-119.49104,3,4,-1
"kelowna, bc, v1x 3x9",49.88625,-119.40271,64,69,49
"kelowna, bc, v1v 2w7",49.95345,-119.39963,0,14,29
"kelowna, bc, v1y 2b7",49.88076,-119.49305,65,96,60
"kelowna, bc, v1w 3n8",49.8609,-119.47162,52,80,48
"kelowna, bc, v1w 5m6",49.80066,-119.47419,4,8,23
"kelowna, bc, v1v 2r1",49.97359,-119.44467,1,17,0
"kelowna, bc, v1x 1k1",49.88125,-119.41422,37,74,47
"kelowna, bc, v1x 2p4",49.90111,-119.39481,64,68,51
"lumby, bc, v0e 0b3",50.24734,-118.96647,0,51,-1
"west kelowna, bc, v1z 3b9",49.87452,-119.53689,14,20,-1
"kelowna, bc, v1w 3k7",49.84373,-119.49044,29,88,42
"kelowna, bc, v1y 3b8",49.87953,-119.48131,55,99,58
"kelowna, bc, v1y 2b5",49.88329,-119.49356,67,96,59
"kelowna, bc, v1w 3m5",49.855,-119.47442,39,84,47
"vernon, bc, v1b",50.31021,-119.21709,0,-1,0
"kelowna, bc, v1y 2e1",49.89083,-119.49198,58,97,58
"kelowna, bc, v1w 3l9",49.84979,-119.48043,19,87,41
"kelowna, bc, v1y 8l6",49.88444,-119.48776,67,95,58
"kelowna, bc, v1x 3k8",49.89382,-119.39274,76,83,50
"central okanagan, bc, v1z 3t2",49.93638,-119.50935,0,4,-1
"kelowna, bc, v1y 3e1",49.86759,-119.48159,48,90,46
"kelowna, bc, v1y 4p9",49.8831,-119.45763,47,98,56
"kelowna, bc, v1w 1n4",49.81509,-119.47525,10,52,25
"summerland, bc, v0h 1z2",49.58174,-119.67702,0,12,-1
"kelowna, bc, v1x 2v9",49.89001,-119.38082,75,84,49
"kelowna, bc, v1v 2e6",49.91072,-119.4444,42,79,38
"kelowna, bc, v1y 1a9",49.88466,-119.49934,61,99,58
"kelowna, bc, v1p 1m8",49.8713,-119.35562,29,39,25
"kelowna, bc, v1v 2c5",49.94542,-119.42827,13,20,19
"kelowna, bc, v1y 5g8",49.87097,-119.4934,54,97,46
"kelowna, bc, v1x 1m2",49.8834,-119.3856,73,76,47
"kelowna, bc, v1w 3p3",49.86087,-119.46174,30,71,38
"west kelowna, bc, v1z 2h2",49.84524,-119.56322,0,22,-1
"vernon, bc, v1h 1z7",50.25678,-119.34665,8,13,16
"penticton, bc, v2a 4v8",49.48556,-119.57815,35,61,-1
"west kelowna, bc, v1z 1y4",49.85773,-119.54354,0,15,-1
"kelowna, bc, v1x 2k7",49.89585,-119.37972,43,76,48
"kelowna, bc, v1y 9k5",49.90403,-119.48495,10,63,33
"west kelowna, bc, v4t 2h7",49.82953,-119.63047,44,51,-1
"kelowna, bc, v1y 0j8",49.88405,-119.45293,53,96,56
"west kelowna, bc, v1z 3a6",49.8464,-119.56452,0,13,-1
"west kelowna, bc, v4t 2c3",49.83053,-119.61282,14,29,-1
"kelowna, bc, v1y 1k7",49.87998,-119.49666,58,99,58
"west kelowna, bc, v4t 1x3",49.82548,-119.58376,0,42,-1
"west kelowna, bc, v4t 2j9",49.8241,-119.62214,4,6,-1
"vernon, bc, v1h 1z2",50.17169,-119.43888,0,14,0
"central okanagan, bc, v1p 1j8",49.8698,-119.12902,0,7,-1
"kelowna, bc, v1y 3x4",49.88803,-119.46273,33,91,52
"west kelowna, bc, v4t 2m7",49.85384,-119.64142,0,1,-1
"west kelowna, bc, v4t 3b2",49.85634,-119.60074,2,38,-1
"kelowna, bc, v1x 6r8",49.87464,-119.36805,22,31,29
"vernon, bc, v1h 1n8",50.25252,-119.3379,6,10,20
"kelowna, bc, v1y 7a3",49.8927,-119.48535,46,97,54
"penticton, bc, v2a 4h8",49.5002,-119.58651,44,51,-1
"kelowna, bc, v1p 1r5",49.86963,-119.36122,30,36,25
"vernon, bc, v1t 6p8",50.25563,-119.28623,41,20,29
"lake country, bc, v4v 1g4",50.0502,-119.42082,25,14,-1
"vernon, bc, v1t 5e1",50.26408,-119.27079,98,61,42
"kelowna, bc, v1v 2v4",49.90885,-119.448,43,80,38
"penticton, bc, v2a 9g8",49.47757,-119.57797,31,65,-1
"kelowna, bc, v1y 1s6",49.87587,-119.49131,57,92,56
"kelowna, bc, v1w 1a2",49.84223,-119.48933,30,88,43
"kelowna, bc, v1y 2r7",49.86395,-119.48816,75,97,48
"penticton, bc, v2a 8t7",49.53912,-119.56932,0,28,-1
"west kelowna, bc, v4t 1v3",49.84618,-119.60449,14,24,-1
"kelowna, bc, v1v 2n2",49.905,-119.46058,15,52,37
"kelowna, bc, v1y 3v9",49.89012,-119.46401,23,84,51
