address,lat,lng,Walk Score,Bike Score,Transit Score
"kelowna, bc, v1v 0e3",49.93337,-119.4015,22,27,45
"lake country, bc, v4v 2r2",50.07032,-119.41315,10,6,-1
"kelowna, bc, v1v 2n1",49.95352,-119.40193,26,13,28
"kelowna, bc, v1y 6r6",49.88636,-119.46866,38,78,53
"kelowna, bc, v1y 4a2",49.87531,-119.47147,46,98,51
"kelowna, bc, v1y 5y3",49.88025,-119.47185,55,99,55
"penticton, bc, v2a 8j2",49.47224,-119.56505,6,20,-1
"vernon, bc",50.26548,-119.27376,98,65,42
"kelowna, bc, v1w",49.82797,-119.44524,4,25,11
"kelowna, bc, v1x 2j3",49.89529,-119.39342,64,82,50
"kelowna, bc, v1y 9y9",49.89538,-119.49709,38,98,39
"kelowna, bc, v1x 5m1",49.874,-119.40338,17,44,34
"west kelowna, bc, v4t 2m8",49.85375,-119.63729,1,1,-1
"kelowna, bc, v1y 5v3",49.87704,-119.46829,35,96,53
"kelowna, bc, v1p 1n9",49.86269,-119.35707,23,6,25
"kelowna, bc, v1y 6j9",49.88452,-119.48,60,88,56
"kelowna, bc, v1v 3c8",49.937,-119.40105,28,31,48
"west kelowna, bc, v1z 1b8",49.87279,-119.539,10,23,-1
"kelowna, bc, v1x 2e2",49.89271,-119.38324,73,88,49
"west kelowna, bc, v1z",49.85902,-119.58413,6,23,-1
"kelowna, bc, v1y 2x2",49.89079,-119.48282,41,99,55
"west kelowna, bc, v1z 2k6",49.86401,-119.56015,6,24,-1
"kelowna, bc, v1x 5k3",49.89108,-119.37487,46,52,45
"kelowna, bc, v1v 2n9",49.8929,-119.44283,5,35,44
"central okanagan, bc, v0h",49.95449,-119.45097,0,16,0
"lake country, bc, v4v 0a8",50.0735,-119.41721,14,16,-1
"kelowna, bc, v1w 1e6",49.82111,-119.4892,35,76,30
"kelowna, bc, v1w 4r6",49.84194,-119.45908,3,39,12
"kelowna, bc, v1x 7m6",49.9055,-119.3787,41,59,47
"lake country, bc, v4v 1g6",50.04949,-119.41563,36,6,-1
"kelowna, bc, v1y 1y9",49.89871,-119.49347,38,99,38
"lake country, bc",50.05353,-119.41109,43,21,-1
"okanagan-similkameen, bc, v0h 1r2",49.29241,-119.52053,0,5,-1
"kelowna, bc, v1x 2p2",49.90111,-119.39155,62,73,51
"kelowna, bc, v1x 8c1",49.89151,-119.40244,65,87,48
"kelowna, bc, v1y 2e4",49.88859,-119.49184,63,98,59
"kelowna, bc, v1p 1a1",49.88056,-119.36212,14,14,24
"kelowna, bc, v1y 2r6",49.86518,-119.48816,75,97,48
"kelowna, bc, v1x 7p8",49.88809,-119.40438,72,76,49
"kelowna, bc, v1x 3a1",49.88412,-119.38705,76,76,47
