name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area,lat,lng,Walk Score,Bike Score,Transit Score
1 bed 1 bath apartment,520,"kelowna, bc",Apartment/Condo,1,1,laundry in building,heating available,Not specified,ac available,unfurnished,No pets,910,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,2200,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,519,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,2950,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,dog and cat friendly,600,49.88698,-119.49661,64,98,59
3 beds 2 baths apartment,2800,"kelowna, bc",Apartment/Condo,3,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,1100,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2650,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,ac available,unfurnished,dog and cat friendly,1000,49.88698,-119.49661,64,98,59
3 beds 3 baths townhouse,4000,"kelowna, bc",Townhouse,3,3,laundry available,gas heating,garage parking,ac available,unfurnished,No pets,2000,49.88698,-119.49661,64,98,59
executive condo,3500,"kelowna, bc",Townhouse,4,3,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,2700,49.88698,-119.49661,64,98,59
3 beds 3 baths apartment,867,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2500,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,heating available,street parking,ac available,Not specified,No pets,900,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,2250,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,heating available,garage parking,ac available,unfurnished,dog friendly,910,49.88698,-119.49661,64,98,59
2 beds 1 bath house,2150,"kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,Not specified,dog and cat friendly,1200,49.88698,-119.49661,64,98,59
private room for rent,1100,"kelowna, bc",Room,1,1,laundry in building,electric heating,street parking,ac available,furnished,No pets,150,49.88698,-119.49661,64,98,59
private room for rent,850,"kelowna, bc",Room,1,1,Not specified,central heating,Not specified,Not specified,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
private room for rent,850,"kelowna, bc",Room,1,1,laundry in building,central heating,parking available,central ac,unfurnished,dog friendly,150,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,1800,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,750,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,1925,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,910,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,1100,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,central heating,garage parking,central ac,unfurnished,cat friendly,800,49.88698,-119.49661,64,98,59
private room for rent,800,"kelowna, bc",Room,1,1,laundry in building,Not specified,parking available,Not specified,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,1150,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,furnished,cat friendly,1100,49.88698,-119.49661,64,98,59
private room for rent,900,"kelowna, bc",Room,1,1,laundry in building,central heating,parking available,central ac,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,2300,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,600,49.88698,-119.49661,64,98,59
upper floor,2200,"kelowna, bc",House,2,1,laundry available,gas heating,parking available,ac available,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
1 bed 1 bath house,800,"kelowna, bc",House,1,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,dog and cat friendly,1200,49.88698,-119.49661,64,98,59
winter rental in amazing location,3000,"kelowna, bc",House,3,1,laundry in building,central heating,street parking,central ac,unfurnished,dog and cat friendly,1150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,3500,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1480,49.88698,-119.49661,64,98,59
2 beds 1 bath house,2500,"kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,850,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2400,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1500,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,2500,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,950,49.88698,-119.49661,64,98,59
1 bed 2 baths townhouse,950,"kelowna, bc",Townhouse,1,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1371,49.88698,-119.49661,64,98,59
3 beds 2 baths house,1042,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,dog and cat friendly,150,49.88698,-119.49661,64,98,59
2 beds 1 bath house,1400,"kelowna, bc",House,2,1,Not specified,central heating,parking available,central ac,unfurnished,cat friendly,1200,49.88698,-119.49661,64,98,59
2 beds 1 bath house,2000,"kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,960,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,1950,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,electric heating,street parking,Not specified,unfurnished,No pets,910,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,3100,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1450,49.88698,-119.49661,64,98,59
one bedroom ensuite for rent in glenmore,800,"kelowna, bc",Room,1,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
2 bedroom,1400,"kelowna, bc",Townhouse,2,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,1371,49.88698,-119.49661,64,98,59
1 bed 1 bath room only,1050,"kelowna, bc",Room,1,1,laundry available,gas heating,Not specified,Not specified,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
private room for rent,1000,"kelowna, bc",Room,1,1,Not specified,heating available,street parking,ac available,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
private room for rent,1350,"kelowna, bc",Room,1,1,in-unit laundry,central heating,Not specified,central ac,furnished,No pets,150,49.88698,-119.49661,64,98,59
room for rent,1000,"kelowna, bc",Room,1,1,in-unit laundry,Not specified,parking available,ac available,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
6 beds 2 baths house,900,"kelowna, bc",Room,1,1,laundry available,Not specified,street parking,Not specified,Not specified,dog and cat friendly,150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2800,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,800,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,3000,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog friendly,910,49.88698,-119.49661,64,98,59
room available near ubco,1200,"kelowna, bc",Townhouse,1,1,in-unit laundry,central heating,garage parking,central ac,furnished,No pets,1371,49.88698,-119.49661,64,98,59
room for rent available for august in rutland,900,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2550,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,1053,49.88698,-119.49661,64,98,59
2 beds 1 bath house,900,"kelowna, bc",House,2,1,laundry in building,heating available,parking available,Not specified,Not specified,No pets,1200,49.88698,-119.49661,64,98,59
now available immediately  a furnished in well appointed townhouse,900,"kelowna, bc",Townhouse,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1371,49.88698,-119.49661,64,98,59
private room for rent,1000,"kelowna, bc",Room,1,1,in-unit laundry,gas heating,street parking,ac available,furnished,No pets,150,49.88698,-119.49661,64,98,59
great location  walk everywhere,840,"kelowna, bc",House,1,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
great location  walk everywhere,840,"kelowna, bc",House,1,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
private room for rent,1200,"kelowna, bc",Room,1,1,laundry available,gas heating,parking available,central ac,furnished,cat friendly,150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,3600,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,910,49.88698,-119.49661,64,98,59
2 beds 1 bath house,3850,"kelowna, bc",House,2,1,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,950,49.88698,-119.49661,64,98,59
2 beds 1 bath house,2850,"kelowna, bc",House,2,1,in-unit laundry,electric heating,street parking,central ac,unfurnished,No pets,920,49.88698,-119.49661,64,98,59
1 bed 1 bath house,1900,"kelowna, bc",House,1,1,Not specified,electric heating,parking available,ac available,unfurnished,No pets,780,49.88698,-119.49661,64,98,59
private room for rent,1000,"kelowna, bc",Room,1,1,laundry in building,electric heating,parking available,ac available,unfurnished,dog friendly,150,49.88698,-119.49661,64,98,59
3 bedroom on main floor for rent,2800,"kelowna, bc",Apartment/Condo,3,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,910,49.88698,-119.49661,64,98,59
3 beds 2 baths townhouse,3500,"kelowna, bc",Townhouse,3,2,in-unit laundry,heating available,garage parking,ac available,Not specified,dog and cat friendly,1700,49.88698,-119.49661,64,98,59
1 bed 1 bath house,1000,"kelowna, bc",House,1,1,laundry in building,electric heating,street parking,Not specified,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
park your trailer,1234,"kelowna, bc",House,1,1,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
3 beds 2 baths house,3500,"kelowna, bc",House,3,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
1 bed 1 bath,1000,"kelowna, bc",Townhouse,1,1,laundry available,Not specified,street parking,ac available,furnished,No pets,1700,49.88698,-119.49661,64,98,59
1 bed 1 bath house,850,"kelowna, bc",House,1,1,laundry available,central heating,street parking,central ac,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
rental furnished suite,2300,"kelowna, bc",Apartment/Condo,2,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910,49.88698,-119.49661,64,98,59
1 bed 1 bath townhouse,995,"kelowna, bc",Townhouse,1,1,in-unit laundry,electric heating,street parking,Not specified,Not specified,No pets,1371,49.88698,-119.49661,64,98,59
1 bed 1 bath house,980,"kelowna, bc",Room,1,1,laundry available,gas heating,parking available,central ac,unfurnished,dog and cat friendly,150,49.88698,-119.49661,64,98,59
room for rent,950,"kelowna, bc",Room,1,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
4 beds 2 baths house,1150,"kelowna, bc",Room,1,1,in-unit laundry,central heating,street parking,central ac,furnished,No pets,150,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,2300,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,950,49.88698,-119.49661,64,98,59
room for rent available in rutland,850,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,150,49.88698,-119.49661,64,98,59
room for rent for girls in rutland dm for more info,900,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths townhouse,2300,"kelowna, bc, v1y 5t8",Townhouse,2,2,in-unit laundry,electric heating,parking available,central ac,unfurnished,dog and cat friendly,1014,49.8794,-119.4757,53,95,55
1 bed 1 bath house,1600,"kelowna, bc, v1w 1b4",House,1,1,in-unit laundry,central heating,street parking,ac available,unfurnished,No pets,600,49.82758,-119.47934,10,44,30
2 beds 1 bath apartment,1800,"kelowna, bc, v1w 3r1",Apartment/Condo,2,1,Not specified,Not specified,garage parking,Not specified,unfurnished,No pets,910,49.86253,-119.47424,35,81,48
3 beds 1 bath house,2000,"kelowna, bc, v1x 2j5",House,3,1,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,1500,49.89529,-119.39641,51,83,50
7 beds 3 baths house,6000,"kelowna, bc, v1x 2j5",House,7,3,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,3200,49.89529,-119.39641,51,83,50
1 bed 1 bath house,1100,"kelowna, bc, v1y 3v3",House,1,1,laundry available,gas heating,parking available,ac available,unfurnished,No pets,600,49.8891,-119.4691,29,79,53
1 bed 1 bath house,950,"kelowna, bc, v1v 1w4",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1200,49.92723,-119.44397,39,69,36
room for rent 5 minute drive to ubco,950,"kelowna, bc, v1v 1w4",Room,1,1,laundry in building,Not specified,street parking,Not specified,unfurnished,No pets,150,49.92723,-119.44397,39,69,36
private room for rent,750,"kelowna, bc, v1y 7v3",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.88457,-119.43779,68,91,58
1 bed 1 bathroom flat,1450,"kelowna, bc, v1y 6n7",Apartment/Condo,1,1,Not specified,Not specified,Not specified,central ac,unfurnished,No pets,800,49.88637,-119.49416,64,98,59
private room for rent,800,"kelowna, bc, v1x 7p3",Room,1,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,150,49.90683,-119.37863,37,51,48
3 beds 2 baths house,550,"kelowna, bc, v1x 1v1",Room,1,1,in-unit laundry,central heating,parking available,Not specified,unfurnished,No pets,150,49.886,-119.41152,53,79,52
studio 1 bath house,850,"kelowna, bc, v1y 6x9",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,450,49.89119,-119.48783,55,99,57
1 bed 1 5 baths house,1500,"kelowna, bc, v1y 6x9",House,1,1,in-unit laundry,heating available,parking available,ac available,Not specified,dog and cat friendly,1200,49.89119,-119.48783,55,99,57
2 beds 1 bath apartment,1600,"kelowna, bc, v1y 7m9",Apartment/Condo,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,910,49.90308,-119.4876,9,64,33
1 bed 1 bath house,720,"kelowna, bc, v1y 3w1",House,1,1,laundry in building,electric heating,parking available,Not specified,unfurnished,No pets,250,49.88994,-119.46614,27,83,51
1 bed 1 bath house,800,"kelowna, bc, v1y 3w1",House,1,1,laundry in building,central heating,parking available,Not specified,unfurnished,No pets,200,49.88994,-119.46614,27,83,51
1 bed 1 bath apartment,1400,"kelowna, bc, v1x 3j7",Apartment/Condo,1,1,in-unit laundry,electric heating,parking available,ac available,unfurnished,dog and cat friendly,910,49.88519,-119.39274,78,79,49
studio for rent,1300,"kelowna, bc, v1x 2c6",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910,49.8921,-119.39168,87,82,49
3 beds 2 baths house,2900,"kelowna, bc, v1x 2c6",House,3,2,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,1200,49.8921,-119.39168,87,82,49
2 beds 2 baths apartment,2100,"kelowna, bc, v1y 6v9",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1000,49.88938,-119.48697,55,99,57
3 beds 3 baths townhouse,3000,"kelowna, bc, v1y 6v9",Townhouse,3,3,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1228,49.88938,-119.48697,55,99,57
1 bed 2 baths townhouse,675,"kelowna, bc, v1y 8m2",Townhouse,1,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1371,49.8835,-119.4691,47,86,54
1 bed 2 baths townhouse,800,"kelowna, bc, v1y 8m2",Townhouse,1,2,Not specified,central heating,street parking,central ac,unfurnished,No pets,1371,49.8835,-119.4691,47,86,54
private room for rent,900,"kelowna, bc, v1y 8m2",Room,1,1,in-unit laundry,central heating,street parking,central ac,furnished,No pets,150,49.8835,-119.4691,47,86,54
studio 1 bath apartment,1400,"kelowna, bc, v1y 0e5",Apartment/Condo,1,1,in-unit laundry,Not specified,parking available,ac available,Not specified,dog and cat friendly,910,49.88441,-119.48176,61,93,57
1 bed 1 bath apartment,1850,"kelowna, bc, v1y",Apartment/Condo,1,1,in-unit laundry,heating available,parking available,ac available,Not specified,dog and cat friendly,600,49.88698,-119.49661,64,98,59
1 bed 1 bath house,1200,"kelowna, bc, v1y",House,1,1,laundry available,central heating,parking available,central ac,Not specified,No pets,1200,49.88698,-119.49661,64,98,59
3 beds 1 bath house,2500,"kelowna, bc, v1y",House,3,1,laundry in building,Not specified,Not specified,Not specified,unfurnished,dog and cat friendly,1200,49.88698,-119.49661,64,98,59
private room for rent,1300,"kelowna, bc, v1y",Room,1,1,in-unit laundry,Not specified,Not specified,central ac,furnished,No pets,150,49.88698,-119.49661,64,98,59
1 bed 1 bath house,850,"kelowna, bc, v1y",House,1,1,in-unit laundry,central heating,parking available,Not specified,Not specified,No pets,1200,49.88698,-119.49661,64,98,59
2 beds 1 bath apartment,875,"kelowna, bc, v1y",Room,1,1,Not specified,central heating,Not specified,central ac,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,900,"kelowna, bc, v1y",Apartment/Condo,1,1,laundry in building,gas heating,street parking,central ac,Not specified,No pets,910,49.88698,-119.49661,64,98,59
4 beds 4 baths house,10800,"kelowna, bc, v1y",House,4,4,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,3300,49.88698,-119.49661,64,98,59
1 bed 1 bath house,1350,"kelowna, bc, v1y",House,1,1,laundry in building,central heating,street parking,central ac,Not specified,No pets,1200,49.88698,-119.49661,64,98,59
2 beds 1 bath apartment,1175,"kelowna, bc, v1y",Apartment/Condo,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,910,49.88698,-119.49661,64,98,59
room for rent,1000,"kelowna, bc, v1y",Room,1,1,in-unit laundry,electric heating,parking available,ac available,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths townhouse,2150,"kelowna, bc, v1y",Townhouse,2,2,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,1060,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2500,"kelowna, bc, v1y",Apartment/Condo,2,2,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,869,49.88698,-119.49661,64,98,59
2 beds 1 bath house,2250,"kelowna, bc, v1y",House,2,1,laundry in building,electric heating,garage parking,Not specified,Not specified,dog and cat friendly,800,49.88698,-119.49661,64,98,59
2 beds 1 bath house,2600,"kelowna, bc, v1y",House,2,1,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,1000,49.88698,-119.49661,64,98,59
3 beds 1 bath house,2800,"kelowna, bc, v1y",House,3,1,in-unit laundry,central heating,Not specified,central ac,unfurnished,dog and cat friendly,1600,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2800,"kelowna, bc, v1y",Apartment/Condo,2,2,Not specified,Not specified,parking available,ac available,unfurnished,No pets,1180,49.88698,-119.49661,64,98,59
private room for rent,850,"kelowna, bc, v1y",Room,1,1,laundry available,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,2800,"kelowna, bc, v1y",Apartment/Condo,2,2,in-unit laundry,heating available,garage parking,ac available,Not specified,No pets,1138,49.88698,-119.49661,64,98,59
2 beds 2 baths house,815,"kelowna, bc, v1y",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths apartment,850,"kelowna, bc, v1y",Room,1,1,in-unit laundry,electric heating,street parking,Not specified,Not specified,No pets,150,49.88698,-119.49661,64,98,59
2 beds 1 bath house,900,"kelowna, bc, v1y",House,2,1,laundry in building,Not specified,parking available,Not specified,Not specified,No pets,1200,49.88698,-119.49661,64,98,59
4 beds 3 baths townhouse,950,"kelowna, bc, v1y",Room,1,1,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,150,49.88698,-119.49661,64,98,59
2 beds 2 baths house,2700,"kelowna, bc, v1y",House,2,2,laundry in building,Not specified,Not specified,Not specified,Not specified,dog friendly,1200,49.88698,-119.49661,64,98,59
2 beds 1 bath townhouse,1000,"kelowna, bc, v1y",Townhouse,2,1,in-unit laundry,electric heating,parking available,ac available,unfurnished,No pets,1371,49.88698,-119.49661,64,98,59
furnished 2 beds 2 bath flat,3750,"kelowna, bc, v1y",Apartment/Condo,2,2,in-unit laundry,heating available,garage parking,ac available,Not specified,dog and cat friendly,1100,49.88698,-119.49661,64,98,59
2 beds 1 bath house,1795,"kelowna, bc, v1y 8c8",House,2,1,in-unit laundry,Not specified,parking available,Not specified,Not specified,dog and cat friendly,1200,49.86855,-119.48284,56,95,46
1 bed 1 bath house,700,"kelowna, bc, v1p 1n7",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.87046,-119.35901,25,39,25
1 bed 1 bath house,700,"kelowna, bc, v1p 1n7",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.87046,-119.35901,25,39,25
3 beds 3 baths apartment,1234,"kelowna, bc, v1v 0c8",Room,1,1,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,150,49.93357,-119.4015,22,27,45
3 beds 3 baths apartment,3000,"kelowna, bc, v1v 0c8",Apartment/Condo,3,3,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910,49.93357,-119.4015,22,27,45
1 bed 1 bath house,1000,"kelowna, bc, v1y 4r9",House,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200,49.88087,-119.44985,60,92,59
1 bed 1 bath house,1155,"kelowna, bc, v1y 4r9",House,1,1,laundry available,central heating,parking available,central ac,Not specified,dog and cat friendly,1200,49.88087,-119.44985,60,92,59
private room for rent,650,"kelowna, bc, v1w 3x2",Room,1,1,laundry available,central heating,parking available,ac available,unfurnished,No pets,150,49.8576,-119.48138,50,90,48
1 bed 1 bath apartment,1550,"kelowna, bc, v1v 2z8",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,dog and cat friendly,600,49.91978,-119.46086,2,20,27
1 bed 1 bath house,800,"kelowna, bc, v1v 2g6",House,1,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,1200,49.92019,-119.41954,3,39,28
3 beds 2 baths house,2300,"kelowna, bc, v1x",House,3,2,laundry available,Not specified,parking available,Not specified,unfurnished,cat friendly,1200,49.90764,-119.38974,44,51,50
4 beds 2 baths house,3500,"kelowna, bc, v1x",House,4,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.90764,-119.38974,44,51,50
3 beds 1 bath house,2300,"kelowna, bc, v1x",House,3,1,Not specified,Not specified,Not specified,Not specified,unfurnished,dog and cat friendly,1200,49.90764,-119.38974,44,51,50
2 beds 2 baths apartment,2300,"kelowna, bc, v1x",Apartment/Condo,2,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,910,49.90764,-119.38974,44,51,50
2 beds 1 bath house,2000,"kelowna, bc, v1x",House,2,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,2300,49.90764,-119.38974,44,51,50
1 bed 1 bath house,735,"kelowna, bc, v1x",House,1,1,laundry available,central heating,parking available,central ac,Not specified,dog and cat friendly,1200,49.90764,-119.38974,44,51,50
1 bed 1 bath house,1650,"kelowna, bc, v1x",House,1,1,in-unit laundry,gas heating,street parking,Not specified,Not specified,No pets,750,49.90764,-119.38974,44,51,50
1 bed 1 bath house,800,"kelowna, bc, v1x",House,1,1,Not specified,central heating,parking available,central ac,unfurnished,dog and cat friendly,1200,49.90764,-119.38974,44,51,50
two bedroom top floor suite pet friendly,2000,"kelowna, bc, v1x",Apartment/Condo,2,1,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,600,49.90764,-119.38974,44,51,50
2 beds 2 baths house,800,"kelowna, bc, v1x",Room,1,1,laundry available,Not specified,parking available,Not specified,unfurnished,No pets,150,49.90764,-119.38974,44,51,50
2 bedroom and 1 bathroom brand new condo,2500,"kelowna, bc, v1x",Apartment/Condo,2,1,in-unit laundry,heating available,parking available,central ac,unfurnished,No pets,910,49.90764,-119.38974,44,51,50
3 beds 1 5 baths townhouse,850,"kelowna, bc, v1x",Room,1,1,laundry available,central heating,parking available,ac available,unfurnished,No pets,150,49.90764,-119.38974,44,51,50
1 bedroom 1 bath legal basement suite,1375,"kelowna, bc, v1w 4n2",House,1,1,in-unit laundry,electric heating,street parking,central ac,unfurnished,No pets,450,49.82611,-119.47776,5,39,29
4 beds 2 baths house,3000,"kelowna, bc, v1y 6m2",House,4,2,in-unit laundry,gas heating,street parking,central ac,unfurnished,No pets,1200,49.88543,-119.47985,60,88,56
1 bed 1 bath apartment,1200,"west kelowna, bc, v4t 2z5",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,ac available,unfurnished,No pets,910,49.83205,-119.61095,21,26,-1
1 bed 1 bath apartment,1200,"peachland, bc, v0h 1x2",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,600,49.78907,-119.71241,2,27,-1
2 beds 1 bath apartment,2000,"peachland, bc, v0h 1x2",Apartment/Condo,2,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,910,49.78907,-119.71241,2,27,-1
1 bed 1 bath apartment,2100,"kelowna, bc, v1y 9z2",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,910,49.89546,-119.49717,38,98,39
private room for rent,850,"kelowna, bc, v1y 9z2",Room,1,1,in-unit laundry,central heating,garage parking,central ac,furnished,No pets,150,49.89546,-119.49717,38,98,39
studio 1 bath apartment,1900,"kelowna, bc, v1y 9z2",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,central ac,Not specified,dog and cat friendly,500,49.89546,-119.49717,38,98,39
2 beds 2 baths apartment,2400,"kelowna, bc, v1y 9z2",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,central ac,Not specified,No pets,855,49.89546,-119.49717,38,98,39
1 bed 1 bath apartment,2955,"kelowna, bc, v1y 9z2",Apartment/Condo,1,1,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,600,49.89546,-119.49717,38,98,39
2 beds 1 bath apartment,900,"kelowna, bc, v1y 5p3",Apartment/Condo,2,1,in-unit laundry,Not specified,street parking,ac available,unfurnished,No pets,910,49.8772,-119.4897,56,94,57
2 beds 1 bath house,1800,"kelowna, bc, v1x 2v3",House,2,1,in-unit laundry,gas heating,Not specified,central ac,unfurnished,No pets,1200,49.88806,-119.37984,77,84,48
1 bed 1 bath apartment,1050,"kelowna, bc, v1y 6b8",Apartment/Condo,1,1,in-unit laundry,Not specified,garage parking,Not specified,Not specified,dog and cat friendly,910,49.88189,-119.47107,57,93,56
2 beds 1 bath house,1750,"kelowna, bc, v1y 6k4",House,2,1,in-unit laundry,Not specified,street parking,Not specified,Not specified,No pets,1200,49.8843,-119.47189,47,88,54
2 beds 2 baths apartment,1800,"kelowna, bc, v1v 0b4",Apartment/Condo,2,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910,49.93429,-119.40142,24,29,47
1 bed 1 bath apartment,1000,"kelowna, bc, v1v 0b4",Apartment/Condo,1,1,in-unit laundry,Not specified,Not specified,Not specified,Not specified,No pets,910,49.93429,-119.40142,24,29,47
